"Geneid" "1.sam" "2.sam" "3.sam" "4.sam" "5.sam" "6.sam" "7.sam" "8.sam" "9.sam" "10.sam" "11.sam" "12.sam" "13.sam" "14.sam" "15.sam" "16.sam" "17.sam" "18.sam" "19.sam" "20.sam" "21.sam" "22.sam" "23.sam" "24.sam"
"B2_Mm1t" 140.18 166.45 295.02 138.77 96.07 199.72 65.03 325.25 198.03 404.05 148.1 302.98 323.17 162.27 173.4 120.38 181.12 334.27 215.97 187.42 235.55 108.33 371.21 222.32
"(TG)n" 402.58 141.32 683.86 428.98 201.97 625.18 341.37 370.68 315.9 472.2 190.25 201.3 249.93 112.03 218.92 315.37 355.13 314.1 310.37 427.05 620.01 249.42 715.8 249.02
"B1_Mus1" 1670.62 899.45 4047.28 4648.75 1554.93 2934.15 3819.4 2140.78 1867.08 2323.8 707.88 1115.97 1447.85 838.47 5475.56 3730.13 4984.81 6342.75 3742.16 3330.03 5214.93 2510.35 4050.33 3141.08
"RLTR9D" 0 1 6 13.5 0 7.25 8.35 12 1.95 10.13 3.7 9.67 14 2.67 0 8 9.3 5.7 18 6 9 1 10.9 0
"ORR1A3-int" 49.2 10 87.33 59.52 62.5 57.63 53.5 64.1 37.7 35.33 25.97 28.2 49.8 16.83 101.5 45.25 37.63 56.43 33.02 88.15 92.93 16.53 110.2 12.5
"MTA_Mm" 101.32 74.2 143.9 117.55 123.5 128.78 44.2 95.88 101.37 127 52.1 76.5 136.35 34.1 85.4 107.9 121.65 113.93 142.75 97.5 173.93 105.47 262.53 88.83
"GSAT_MM" 4 0 0 3 0 3 67 4 8.8 17 2 0 5 0 0 0 2 6 2 3 11 1 7 9
"IAPLTR3-int" 136.4 29.2 197.5 366.9 169.25 264.16 310 234.73 164.65 158.42 32 36.6 59.47 36.25 67 255.06 242.68 291.83 213 225 391.56 114.8 387.18 232.06
"RLTR10" 2 5.4 1 5.45 4 11.85 0 15 4.6 19 5.2 26 5 0 0 0.6 6.3 9 1 2 9 1 9 0
"L1_Mus3" 681.08 356.25 974.51 1235.6 611.58 1079.5 1364.91 1109.71 858.01 1261.35 403.52 1098.26 1093.1 390.37 886.31 895.03 1013.11 958.65 1129.85 850.55 1712.31 473.35 1845.2 800.88
