"Annotation" "Reads.1" "Reads.2" "Reads.3" "Reads.4" "Reads.5" "Reads.6" "Reads.7" "Reads.8" "Reads.9" "Reads.10" "Reads.11" "Reads.12" "Reads.13" "Reads.14" "Reads.15" "Reads.16" "Reads.17" "Reads.18" "Reads.19" "Reads.20" "Reads.21" "Reads.22" "Reads.23" "Reads.24"
"1" "mmu-let-7a-1-3p" 136 35 469 274 267 376 50 146 155 106 24 12 56 32 185 198 267 130 173 353 514 202 689 313
"2" "mmu-let-7a-2-3p" 4 1 NA 2 NA 4 NA NA 1 NA NA NA 2 2 NA 1 3 8 1 11 5 NA NA 12
"3" "mmu-let-7a-5p" 31104 7547 45142 23501 13978 134076 14390 17298 19272 32698 3885 1909 6478 2456 21335 28281 28910 29835 27467 29761 73571 36376 101468 36434
"4" "mmu-let-7b-3p" 30 12 78 41 31 72 NA 21 20 16 14 3 6 9 29 20 39 20 41 22 41 20 93 95
"5" "mmu-let-7b-5p" 7032 1665 12315 4332 2442 20344 1734 2778 3927 5096 755 291 1019 545 4133 4590 4309 4528 4184 5545 13284 4011 14973 7337
"6" "mmu-let-7c-1-3p" 16 3 47 8 16 39 NA 6 11 4 5 1 5 NA 23 28 21 26 25 11 33 43 48 28
"7" "mmu-let-7c-2-3p" 136 35 469 274 267 376 50 146 155 106 24 12 56 32 185 198 267 130 173 353 514 202 689 313
"8" "mmu-let-7c-5p" 44470 10787 70002 26534 19002 149632 18781 22798 25695 42170 5135 2423 7741 3411 30555 36947 34035 33966 31111 40778 94413 36218 112933 50854
"9" "mmu-let-7d-3p" 167 61 816 231 175 695 48 114 185 137 59 14 58 26 60 191 257 199 261 204 597 196 803 390
"10" "mmu-let-7d-5p" 7055 1821 10278 5295 4062 25828 3636 3816 3960 4178 1073 414 1434 564 3986 3931 6043 4097 6782 7391 14724 10894 20033 10498
"11" "mmu-let-7e-3p" 24 5 37 19 14 53 NA 9 9 6 2 NA 5 NA NA 26 20 11 13 32 41 NA 24 25
"12" "mmu-let-7e-5p" 2744 350 3843 1743 870 8830 1240 1280 1474 1875 329 102 434 146 1069 1636 2407 2002 1760 2635 8439 2173 6519 3047
"13" "mmu-let-7f-1-3p" 3 NA 9 1 2 11 NA 2 3 3 2 NA 1 NA NA 2 3 14 4 3 5 NA 22 6
"14" "mmu-let-7f-2-3p" 2 NA NA 2 NA 2 NA NA NA 5 NA NA NA NA 27 NA 3 NA NA 1 4 NA 8 NA
