# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "piRNA" "-g" "ID" "-s" "0" "-M" "--fraction" "-a" "merge_mm10_piRNAcluster1.gff3" "-o" "counts_piRNA_cluster_s0.txt" "1.sam" "2.sam" "3.sam" "4.sam" "5.sam" "6.sam" "7.sam" "8.sam" "9.sam" "10.sam" "11.sam" "12.sam" "13.sam" "14.sam" "15.sam" "16.sam" "17.sam" "18.sam" "19.sam" "20.sam" "21.sam" "22.sam" "23.sam" "24.sam" 
Geneid	Chr	Start	End	Strand	Length	1.sam	2.sam	3.sam	4.sam	5.sam	6.sam	7.sam	8.sam	9.sam	10.sam	11.sam	12.sam	13.sam	14.sam	15.sam	16.sam	17.sam	18.sam	19.sam	20.sam	21.sam	22.sam	23.sam	24.sam
1-qC1-637	chr1	57348976	57377520	-	28545	250	38	337	518.20	176	380.50	299	334	270.50	248.50	39	30	105	67	322	368.20	356	281.40	308	398.50	699.50	106.60	734.00	191.80
1-qD-2017	chr1	91403056	91406029	-	2974	452.50	39	614	1112	252	700.33	496	446	430	414	100	27	223	151	433	849	711.50	767	606	680	1262	295	1307	484
1-qD-4525	chr1	92992345	92997067	-	4723	862	173	1077	1816	548	1396	1778	1113.50	998.50	902	223.50	105	553	407	1159	1732.50	1451.50	1509	1136.50	1365	2490	757	2811	1182
1-qE2-2	chr1	118459145	118459266	-	122	47	50	303	98	106	93	35	77	46	160	58	33	62	10	91	71	114	191	83	125	263	17	156	82
1-qE3-706	chr1	125174892	125177979	+	3088	203	48	357	371	93	300.50	369	190	185	249	66	50	106.20	48	122	322	285.50	259	258.50	226	522	95	456	251
10-qA3-143	chr10	20310506	20312760	-	2255	47	9	51	159	27	84	113	38	54.50	38	16	19	26	20	41	99.50	75	75	72	73.50	137.50	13	99.50	91
10-qA3-2592	chr10	18796806	18831930	-	35125	702.83	113.25	730	1568.83	574	1112.50	2022	817	724.83	792.67	165	146	415.50	324	960	1401.17	1110.50	1017.50	934	1116.33	2132.33	761	1957.50	956
10-qB4-6488	chr10	62651693	62706331	+	54639	1400.40	245.43	1761.13	3148.02	1177.93	2195.85	2836	1483.25	1324.78	1223.83	274.83	172.50	732.33	501.33	1337	2466.90	2352.43	1829.53	1895.83	2142.03	4258.18	977.33	3931.77	1556.53
10-qB5-221	chr10	66698293	66708692	+	10400	30	5	57.60	103.30	68	64.80	185	50.80	49.40	49.40	4.20	0	33.20	22	21	69.40	79.90	80	62.50	52.40	138	48.20	138.78	33.60
10-qB5-5404	chr10	66679900	66698136	-	18237	1763.33	271.90	1976.43	3539.37	1122.73	2545.02	2691.60	1764.52	1696.93	1451.78	358.28	219	800.73	502.90	1347.20	2958.47	2459.72	1927.57	2221.20	2306.50	4545.82	1070.60	4707.62	1985.80
10-qC1-117	chr10	84488294	84504837	+	16544	17.50	1	0	60.25	26	34	38	24	20	29	7	1	23	26	43	20.20	32	35.20	44	13	39	24	62	50
10-qC1-12816	chr10	75837524	75864170	+	26647	2520.63	440.65	3128.25	5943.92	1584.12	4104.12	5204.33	2936.18	2467.27	2193.25	652.03	314.58	1143.58	837.67	2248.90	5206.17	3986.88	4146.17	3416.20	3673.53	7187.22	1936.25	6935.53	3605.23
10-qC1-1527	chr10	86548679	86591509	-	42831	1225.53	196.58	1182.71	2570.26	774.68	1730.23	2328.35	1425.66	1101.53	1239.88	255.05	250.08	651.12	446.78	1222.40	2166.03	1677.11	1432.65	1536.46	1629.86	3103.82	841.90	3042.19	1301.13
10-qC1-2617	chr10	85748562	85781750	+	33189	1117.05	180.20	1229.75	2349.34	728.93	1604.11	2849.40	1346.98	1047.46	1299.26	255.35	153.55	550.90	443.08	1246.03	2255.39	1710.01	1701.40	1310.63	1601.66	3100.58	690.63	3026.46	1286.45
10-qC1-875	chr10	86617012	86670850	+	53839	523.18	80.75	663.68	1209.73	396.32	830.50	2150.13	609.43	589.25	645.33	101.38	59.08	340.23	195.22	636.52	1033.06	851.11	766.06	710.93	781.46	1640.06	430.45	1540.51	811.06
10-qC2-545	chr10	94673713	94688442	-	14730	268.75	63.25	298	587.25	210.20	563.75	749	378.50	292.50	311.25	118	45	118.25	71.67	291.25	616	488.50	517	451.75	482.75	853.17	258	981.50	449
11-qB1-590	chr11	50939596	50943725	-	4130	131	28	176.00	331	149	279	161	168	141	144	28	4	73	59	99	264	227.50	219	221.50	242.50	419	87	480	163
11-qE1-252	chr11	108417576	108425425	-	7850	98	24	112	216	70	207.20	0	115	118.45	113.50	17	4	28	24	25	176	133.60	56	128	117	262.33	72	281	186
11-qE1-3997	chr11	107994012	107999715	+	5704	492	87	646	1513	504	1009	1478	634	558	1079	133	101	339	258	972	1343	1011.10	1408	1024.50	1147	1969.50	455	1515.40	860
11-qE1-9443	chr11	103424327	103453696	+	29370	1759.70	268.53	2091.60	4425.67	1084.80	2837.18	4509.93	1966.95	1843.82	1777.67	310.50	260	855.52	573	2025.57	3308.25	2862.28	2488.67	2397.05	2625.82	5139.72	1108.83	4806.83	2035.32
12-qE-23911	chr12	98378945	98420048	-	41104	6673.20	1033.50	7646.50	15603.53	4761.50	11098.15	16715.50	7702.40	6704.67	7704.67	1356.50	970.50	3653.37	2405.50	7904.50	12902.60	10221.42	11051	8952.67	10339.50	19868.78	4580.50	18822.77	8291.40
12-qE-7089	chr12	98420148	98455965	+	35818	1856.50	285.40	2240.40	4386.93	1364.60	3244.20	4196	2054.50	1879.33	1869	426	229	775.75	633	1651	3773	2857.93	2699.50	2731.40	3274.60	5396.63	1270.50	5421.45	2510.40
13-qA3-213	chr13	21503621	21506524	-	2904	101	11.20	188.80	316.70	145	217.70	142	145.40	120.85	93.60	24	2.50	81.20	47	131.80	173.60	220.35	115	211.80	139.20	444.00	131.60	345.07	229.60
13-qA3-355	chr13	24905600	24935032	+	29433	137	12	122	219	43	141	211	107	120	127	20	18	42	10.40	90	119	172.50	117	157	177	254	86	313	91
13-qA5-156	chr13	49814722	49895692	+	80971	149.70	17.33	105.07	251.62	137.17	230.67	185	186.02	130.97	130.52	27.42	4.70	58.02	39.00	49.83	236.13	182.33	185.32	164.72	165.23	298.65	130.05	301.90	93.52
13-qA5-208	chr13	50268025	50317360	+	49336	146.02	24.23	143.60	286.72	41.42	188.45	151.08	109.95	144.83	124.72	38.93	48.20	78.60	19.73	125.40	256.43	210.48	251.02	156.10	171.70	387.03	82.67	321.28	196.58
13-qA5-464	chr13	50501554	50595487	-	93934	541.97	104.88	622.45	1362.03	596.82	1002.98	1514.98	667.95	895.78	775.96	270.90	107.93	366.63	236.75	736.30	947.26	1007.21	825.10	859.05	1049.61	1452.46	419.12	1280.20	632.38
13-qA5-703	chr13	50905640	50934148	-	28509	580.57	95.07	597.27	1541.01	584.58	1083.76	1371.98	670.68	855.83	906.02	213.70	115.20	349.48	235.58	554.08	1029.10	982.01	767.48	891.01	1066.28	1632.35	472.38	1500.26	600.60
13-qA5-967	chr13	52096735	52124158	+	27424	226	34	302	573.20	181	375	181	246	239	192	60	19	129	42	143	398	370	267	301	377	666.50	124	687	227
13-qB1-1517	chr13	53393668	53454538	+	60871	359.93	65.30	527.28	858.25	205	664.47	1396.50	503.27	402.25	429.88	76.00	55.83	188.53	90.92	473.47	682.68	633.72	520.08	511.52	690.57	1079.47	266.83	1017.03	477.00
14-qA3-19970	chr14	24081994	24130091	+	48098	4157.80	697.27	5224.20	10410.05	3006.20	6940.97	8962	4621.88	4208.18	4274.97	918.10	556	2294.10	1454.80	4545.00	8172.73	6738.87	5981.80	5856.30	6678.57	12308.13	2915.93	12105.30	5644
14-qA3-2286	chr14	24337663	24369814	-	32152	671.07	109.85	995.45	1448.73	471.90	987.50	1633.92	821.23	761.50	586.03	179.70	120.90	439.33	216	638.50	1061.30	990.32	971.87	907.62	899.27	1849.15	461.10	1847.37	708.03
14-qA3-284	chr14	24412817	24429825	-	17009	74.50	32.50	161	263.03	56.83	178.20	157.50	129	126.40	96	16.50	10.50	63.33	30	36.50	152	181.10	157.50	144.70	193.70	289.50	125	261.70	174
14-qA3-3095	chr14	19626160	19653410	-	27251	1060.30	157.28	1301.63	2627.78	721.12	1842.05	2372.07	1297.07	1159.68	1116.07	270.60	135.60	598.22	401.50	994.82	1957.57	1802.45	1633.23	1464.75	1851.78	3131.88	833.30	3082.28	1277.08
14-qC1-1010	chr14	44926823	44950817	+	23995	718.10	107.83	877.33	1663.43	425.53	1243.72	1147.33	869.17	758.40	723.37	167.50	74.50	336.17	260.50	722.17	1350.65	1062.13	920.83	987.10	1116.15	2044.95	511.97	2155.68	805.67
14-qC1-1261	chr14	44758113	44789939	-	31827	1083.13	158.80	1033.08	2174.82	680.43	1604.73	1742.33	1188.43	1075.93	896.75	252.70	134.50	548.33	382.25	943.17	1949.82	1469.28	1317.73	1297.78	1523.85	2730.85	677.83	2604.48	1017.08
15-qD1-17920	chr15	59247366	59275222	-	27857	4776.50	813.33	5793.83	11565.27	3526.67	8256.75	8892.10	5845.10	5056.02	4779.33	1067	840.50	2560.08	1687	5269.00	8962.50	7401.97	7244.40	6406.45	8020.87	14016.50	3109.67	13774.03	5857
15-qD1-4001	chr15	59275367	59312014	+	36648	1082.60	132.20	1206.70	2548.60	656.83	1730.43	2349.00	1229.70	1073.73	1359.65	264.53	172	578.62	369.60	1215.50	2054.08	1606.82	1534.95	1392.75	1577.10	3101.22	616	2883.05	1350.10
15-qD3-14639	chr15	74636388	74658911	+	22524	3074.40	529.53	3659.75	7318.72	2017.50	4984.38	6517	3308.48	3056.90	2755.42	682	483.50	1437.32	1150.83	3133.50	5834.75	5022.90	4427.20	4107.08	4445.97	9031.67	2180.00	8745.03	4095.67
15-qE1-1119	chr15	79928006	79963233	+	35228	260.37	30	301.50	606	168	449.53	528	261.80	312.50	244	47	31	133	69	359	582.80	418.25	315	335.70	455.33	838.50	170	821.50	373.00
15-qE1-3710	chr15	83353848	83367280	-	13433	956.83	140.50	1204.40	1986.83	582	1433.50	1945.50	1041	930.33	945.50	195	121	484	270	804	1611	1377.45	1340	1258	1424.50	2485.30	636.40	2475.20	1381
15-qE1-8387	chr15	78647685	78670532	-	22848	2311.78	336.45	2434.12	4928.07	1307.20	3387.03	3052	2509.33	2109.53	1907.95	462.53	330	1086.53	741.75	2319	3852.70	3386.78	2646.53	2690.48	3267.13	5812.07	1214	5775.30	2509.10
17-qA3-26735	chr17	27325197	27367483	+	42287	4571.08	708.05	5891.93	13319.65	2757.70	7817.92	11782.50	4577.98	4533.50	4520.85	1028.10	543.30	2275.70	1468.23	5719.90	9877.95	8430.45	8076.18	6913.43	6812.10	13875.03	3298.93	13970.45	6228.53
17-qA3-27363	chr17	27288276	27325028	-	36753	6466.45	978.88	8198.17	16218.57	3835.97	10586.93	13823.35	7188.62	6573.62	5976.12	1499.33	780.13	3370.07	2187.33	7222.00	12803.08	10865.37	9381.82	9259.27	10013.83	18276.03	4380.47	18458.88	8384.27
17-qA3-352	chr17	22497402	22522100	+	24699	226.87	53.90	390.28	659.02	283.75	437.48	830.75	293.82	419.15	375.40	130.03	36.20	142.68	103.42	208.92	380.82	501.10	359.95	449.48	428.67	617.58	226.00	625.77	284.60
